"w","Prod","UR","Wedge","Union","D7475","D7579"
2.97647805170312,1.1733009333351,0.0885425653007755,-0.32384555676117,-0.846158689155873,0,0
3.00698745203595,1.18639966447475,0.0553310542795197,-0.31112670425136,-0.827570655543069,0,0
3.01658653237928,1.19438212042598,0.0262613059662909,-0.321974066308107,-0.810040848071448,0,0
3.00888750433497,1.19747236410007,0.0898143810116593,-0.313362277183411,-0.793542419188968,0,0
3.00488436053832,1.20146753046272,0.156959254196013,-0.333936608786925,-0.788469459437464,0,0
3.00509411562119,1.21634870639226,0.159561778870154,-0.305506559300325,-0.787040619615549,0,0
3.00041316655961,1.22846416399349,0.09017627785556,-0.30505933278712,-0.783641321519172,0,0
2.9852988575321,1.2394213750374,0.0985635463634676,-0.284665700833294,-0.78202221161997,0,0
2.99770987875963,1.21911390930927,0.125948410437314,-0.284345879562885,-0.781279318458425,0,0
3.009956019447,1.25475849529385,0.131749281915764,-0.233028161798001,-0.778683531027172,0,0
3.01153822579205,1.2577924035103,1.3526603740113,-0.251247373868757,-0.77683338370919,0,0
3.01558263969492,1.27148209081961,1.30267608945993,-0.251840208153189,-0.785460059162748,0,0
3.03391689908417,1.29633416535736,1.17681733811531,-0.272219942440167,-0.785569753516764,0,0
3.06884962080583,1.28920058728473,1.1104890718811,-0.313076868636159,-0.78752392155386,0,0
3.0829555957543,1.29268337439202,1.04102748779845,-0.316900185712063,-0.786337694244612,0,0
3.06429704223697,1.2904557106,0.959185967542416,-0.285726861593619,-0.785196787414338,0,0
3.06323655197494,1.25439855633719,0.989016854144474,-0.303806851867854,-0.777529398637043,1,0
3.06747746514316,1.28941526813699,1.01865805767262,-0.348173970595098,-0.772039037882529,1,0
3.0952798440071,1.28788767093468,1.06120262863038,-0.324225149851144,-0.76875493867674,1,0
3.08926521995506,1.26997186456544,1.10164666380662,-0.318564113817496,-0.761854560660584,1,0
3.11360332155889,1.26929115169437,1.25276155143824,-0.29915538045606,-0.752854884374202,1,1
3.08917372569894,1.25596963536768,1.4109858763664,-0.333752056406597,-0.745367297999532,1,1
3.11416040058922,1.2519257553779,1.52605535230539,-0.358456062818453,-0.738060909820961,1,1
3.08611485877228,1.26066223149903,1.62923997084054,-0.332403493066833,-0.729852852522444,1,1
3.0991827164579,1.27311866563764,1.68639830028111,-0.34982330408663,-0.719676006658961,0,1
3.08763920056872,1.28365697417062,1.72276591411424,-0.36998092383953,-0.710456178695241,0,1
3.09673550845635,1.28433419553128,1.7404656742147,-0.343966588284672,-0.702914936140993,0,1
3.09503674240842,1.30575112705246,1.75785742055037,-0.363672509737511,-0.696051397718969,0,1
3.09299941796736,1.30862093119051,1.75785717532691,-0.379327532798348,-0.687284638888647,0,1
3.09037997248447,1.29804960330345,1.77495133482119,-0.395103558173416,-0.678199507741324,0,1
3.08881889088829,1.30452938905113,1.8082879201003,-0.353870581148053,-0.6695479596508,0,1
3.09929411189123,1.30966523255562,1.82454820158481,-0.306943942859982,-0.660660840557401,0,1
3.07650767091653,1.31547350552456,1.80828802128041,-0.294716494032755,-0.657567862322037,0,1
3.10653395622508,1.32533538816689,1.79145699623444,-0.331901150469332,-0.654522956809563,0,1
3.10661369455527,1.3254309441202,1.77487806752546,-0.281788307566907,-0.652735006324553,0,1
3.11761651432792,1.31716384269134,1.7228525214808,-0.271355409244696,-0.653215283819211,0,1
3.12575071251836,1.30597156212117,1.62933902697084,-0.269639967428193,-0.653119300945485,0,1
3.15089937586964,1.34307318057289,1.60914904327052,-0.316699750026525,-0.652216510985038,0,1
3.15264799783119,1.31817646823435,1.58909941226053,-0.298715917460361,-0.65181334585223,0,1
3.17026820992285,1.32501559628705,1.58939595913135,-0.261026660464287,-0.650585976142413,0,1
3.1695722349091,1.30939390502798,1.66780414496783,-0.297630902138311,-0.656024838602244,0,0
3.18769629826105,1.29226434250151,1.77466669937562,-0.327639542299898,-0.6585333049139,0,0
3.17307245232831,1.28186407893879,1.91670159461972,-0.314940106390553,-0.657046855758567,0,0
3.15679107041492,1.2747188767749,2.06707185019815,-0.283131375296521,-0.653042339132507,0,0
3.1683536719152,1.28743145240108,2.17482327623118,-0.281480529646562,-0.653042339132507,0,0
